title,genre,year,score,salesPoint,posterUrl
하우스메이드,"미스터리, 스릴러",2025,7.3,52707,https://image.tmdb.org/t/p/w500/fUDX16A4fJXmAuUA5t0pnqzXS0b.jpg
데이 윌 킬 유,"공포, 코미디, 액션",2026,7.1,51985,https://image.tmdb.org/t/p/w500/6oI4oQKTWMVUlr8Ivqydp28Ruu6.jpg
Savior,드라마,2015,0.0,50754,https://image.tmdb.org/t/p/w500/wcZleoLz2us9dCxraSivVhyES0z.jpg
Nadie va a escuchar tu grito,"공포, 스릴러",2025,5.4,50447,https://image.tmdb.org/t/p/w500/5e877bTsl71ENZLtQ7L1lGVV9yN.jpg
어린 아내,"드라마, 로맨스",2024,6.7,49290,https://image.tmdb.org/t/p/w500/iVS3ZiPsKy8Hhc5Dipqgrjmoj2b.jpg
매트릭스,"액션, SF",1999,8.2,48958,https://image.tmdb.org/t/p/w500/fxBxoXFAYKWde6lKzXxSusn18Av.jpg
Dime lo que quieres (de verdad),"로맨스, 드라마, 코미디",2023,7.8,48884,https://image.tmdb.org/t/p/w500/2ynUMfrwnEdGmkZmpiiJmTdTi4w.jpg
드라큘라: 어 러브 테일,"공포, 판타지, 로맨스",2025,7.2,48292,https://image.tmdb.org/t/p/w500/hCKkybW6EfSZoOW3xia9ZsQwaUd.jpg
룸 인 로마,"드라마, 로맨스",2010,6.4,48153,https://image.tmdb.org/t/p/w500/4kF4qRXFd7MqX2bAJX3e3zQSxhV.jpg
무서운 영화 2,코미디,2001,5.8,47481,https://image.tmdb.org/t/p/w500/iRS4R009OJM4KmhikmzGvkbeEaT.jpg
미트볼,코미디,1979,5.8,47233,https://image.tmdb.org/t/p/w500/9YA2erSNcca9NWd0xePC9ArFWnx.jpg
나의 잘못,"드라마, 로맨스, 스릴러",2023,7.7,46982,https://image.tmdb.org/t/p/w500/duT8Vks5FXwDkpxoR84xb2a6VB6.jpg
워 머신: 전쟁 기계,"액션, SF, 스릴러",2026,7.4,46940,https://image.tmdb.org/t/p/w500/cfeIYPthWgq5XFZnx7cbpr7xFTp.jpg
어벤져스,"SF, 액션, 모험",2012,8.0,46782,https://image.tmdb.org/t/p/w500/krgjV3rJtBcEpQehODKXNCt6uFL.jpg
실명,"로맨스, 가족, 드라마",2025,0.0,46651,https://image.tmdb.org/t/p/w500/6f6cc6TuAQtpKwY26b8YE8o4rsh.jpg
