title,artist,genre,year,salesPoint,category,country,currency,previewUrl,artworkUrl,trackViewUrl
RUDE!,Hearts2Hearts,Dance Pop,2026,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/01/3c/36/013c3684-7121-8f9f-6eb5-00b610ac055c/mzaf_16203782190977593201.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/78/b9/fb/78b9fb30-169a-eab0-38e9-8df725f8f2d6/888735954603.png/100x100bb.jpg,https://music.apple.com/kr/album/rude/1875146814?i=1875146815&uo=4
빌려온 고양이 (Do the Dance),아일릿,Dance Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/1f/e4/ec/1fe4ec8d-0a55-5366-c3f7-47e820329d20/mzaf_901005315216648099.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/e4/bc/4d/e4bc4da3-0013-9949-8e54-0eede523f9d4/198704525001_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%B9%8C%EB%A0%A4%EC%98%A8-%EA%B3%A0%EC%96%91%EC%9D%B4-do-the-dance/1817427556?i=1817427565&uo=4
고민중독,QWER,Pop Punk / Pop Rock,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/ca/f2/aa/caf2aa58-40ef-8460-cf65-0f97848da839/mzaf_11004362433324424334.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/75/54/38/75543853-92c7-064c-fe26-2cbf5eecc6d8/cover_KM0019655_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B3%A0%EB%AF%BC%EC%A4%91%EB%8F%85/1737366584?i=1737366585&uo=4
HOME SWEET HOME (feat. TAEYANG & DAESUNG),G-DRAGON,Hip Hop,2024,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/2a/15/77/2a1577ce-2885-d92a-18b2-d6f3ef8f2421/mzaf_1439558567026759296.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/5e/fc/0f/5efc0fb0-9c73-8334-3cda-96b92e67409b/cover_KM0020657_1.jpg/100x100bb.jpg,https://music.apple.com/kr/album/home-sweet-home-feat-taeyang-daesung/1780757445?i=1780757446&uo=4
"무제, 2014",G-DRAGON,Ballad,2017,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/b2/b4/03/b2b4031b-65a9-b542-63aa-20ef14ed41b3/mzaf_543131874169560410.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/08/7d/c9/087dc979-4295-daa3-f22a-3c4f141c7ad0/GD_DS_4000_2.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%AC%B4%EC%A0%9C-2014/1246076503?i=1246076508&uo=4
그건 아마 우리의 잘못은 아닐 거야,백예린,Indie Folk,2019,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/9d/93/3e/9d933eb6-6902-4ea6-e6a2-d4dfdfa81f60/mzaf_12930430016126812943.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/7e/7f/a1/7e7fa149-6db3-9c0c-bb14-47e6f346e31b/Our_love_is_great_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EA%B7%B8%EA%B1%B4-%EC%95%84%EB%A7%88-%EC%9A%B0%EB%A6%AC%EC%9D%98-%EC%9E%98%EB%AA%BB%EC%9D%80-%EC%95%84%EB%8B%90-%EA%B1%B0%EC%95%BC/1456221391?i=1456221393&uo=4
오늘만 I LOVE YOU,보이넥스트도어,Pop Rock,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/b0/29/da/b029da0d-f3cd-231a-dabc-0704776df26f/mzaf_4183191705776683622.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/8c/03/16/8c03163b-065d-5f3c-ba55-73c4603a3c05/198704289064_Cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EC%98%A4%EB%8A%98%EB%A7%8C-i-love-you/1785637094?i=1785637238&uo=4
FOCUS,Hearts2Hearts,R&B Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/44/97/60/44976097-de99-04ed-b494-11634e957a26/mzaf_5997753821524447019.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/df/26/ea/df26eafa-06e8-8bd0-4180-5ba91fb91c39/888735953859.png/100x100bb.jpg,https://music.apple.com/kr/album/focus/1841828519?i=1841828520&uo=4
뛰어(JUMP),BLACKPINK,EDM / Dance Pop,2025,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/69/06/a8/6906a8ae-c1ac-444f-7217-2989a3ed7ea3/mzaf_14545849858977821875.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/00/3e/16/003e1619-3133-a934-3263-5749ee119625/8809519880736_cover.jpg/100x100bb.jpg,https://music.apple.com/kr/album/%EB%9B%B0%EC%96%B4-jump/1825258503?i=1825258504&uo=4
Congratulations,데이식스,Alternative Rock,2015,0,music,KOR,KRW,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/f6/6f/5a/f66f5af6-e1bd-7dcb-f57c-22fd4947522f/mzaf_9678579829313596865.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music60/v4/6b/b2/cc/6bb2cc38-d3bf-af92-f7e6-cd3ad24279f6/mzm.hlknqhiv.jpg/100x100bb.jpg,https://music.apple.com/kr/album/congratulations/1037939986?i=1037940002&uo=4
