"coverUrl","title","artist","year","score","category","genre","salesPoint"
"https://image.aladin.co.kr/product/39166/23/cover500/k992138063_2.jpg","추세추종 절대수익 - 종목보다 시장을 먼저 읽는 상위 0.1%의 주식투자","29PER (지은이)","2026","5.0","book","경제/경영","6055"
"https://image.aladin.co.kr/product/37907/70/cover200/k332033938_1.jpg","자본주의 시대에서 살아남기 위한 최소한의 경제 공부","백억남(김욱현) (지은이)","2025","4.5","book","경제/경영","67445"
"https://image.aladin.co.kr/product/27218/30/cover500/k212732293_1.jpg","라오어의 미국주식 무한매수법 - 레버리지가 아니면 평범한 인생을 바꿀 수 없다","라오어 (지은이)","2021","4.5","book","경제/경영","24449"
"https://image.aladin.co.kr/product/39069/40/cover500/k392137852_1.jpg","스페이스X 일론 머스크 - 세계 최강의 우주 기업은 어떻게 실패하고 다시 일어났는가?","에릭 버거 (지은이), 장용원 (옮긴이), 서성현 (감수)","2026","5.0","book","경제/경영","10215"
"https://image.aladin.co.kr/product/38832/45/cover500/k602137286_1.jpg","평생 월 500만 원 받는 월배당 ETF - 한 달에 두 번 따박따박 월급받는 투자법","배당의만장(이재석) (지은이)","2026","5.0","book","경제/경영","13480"
"https://image.aladin.co.kr/product/39128/94/cover500/k172137559_2.jpg","주식 단타 특공대 - 9시부터 10시까지 딱 1시간, 100만원으로 시작해 수익 내는 법","윤타(윤영준) (지은이)","2026","5.0","book","경제/경영","10630"
"https://image.aladin.co.kr/product/39152/84/cover500/k702138866_2.jpg","AI 버블, 반도체 실전 투자법 - 승자독식 시대의 위너를 만드는","이형수 (지은이)","2026","4.0","book","경제/경영","10040"
"https://image.aladin.co.kr/product/39173/22/cover500/k422138778_1.jpg","코스피 1만 투자 지도 - 예측 적중률 95.8% 효라클의 12개 핵심 산업 분석","효라클(김성효) (지은이)","2026","5.0","book","경제/경영","7980"
"https://image.aladin.co.kr/product/39134/78/cover500/k992137650_2.jpg","무지개를 변호하다 - 트랜스젠더 변호사 박한희의 삶과 생각","박한희 (지은이)","2026","5.0","book","인문","12425"
"https://image.aladin.co.kr/product/39244/75/cover500/k782138107_2.jpg","품격 있는 대화를 위한 지식 브리핑","김진 (지은이)","2026","4.5","book","인문","79180"
"https://image.aladin.co.kr/product/39182/60/cover500/k702138679_1.jpg","말하지 않고 말하기 - 마음을 움직이는 소통의 심리학","김정운 (지은이)","2026","5.0","book","인문","40725"
"https://image.aladin.co.kr/product/37539/55/cover500/k392032120_1.jpg","니체의 초월자","프리드리히 니체 (지은이), 김철 (편역)","2025","5.0","book","인문","61103"
"https://image.aladin.co.kr/product/38548/11/cover500/k192135753_2.jpg","인생을 위한 최소한의 생각","신영준, 고영성 (지은이)","2026","4.5","book","인문","118100"
"https://image.aladin.co.kr/product/38793/3/cover500/k292137262_1.jpg","이향인 - 세상 밖에서 세상의 중심이 되는 사람들","라미 카민스키 (지은이), 최지숙 (옮긴이)","2026","5.0","book","인문","65470"
"https://image.aladin.co.kr/product/39369/92/cover500/k372139668_1.jpg","불안한 날에 니체를 읽는다","프리드리히 니체 (지은이), 김상현 (엮은이)","2026","0.0","book","인문","15630"
"https://image.aladin.co.kr/product/38694/70/cover500/k612136721_2.jpg","완벽한 원시인 - 10만 년을 되돌려 되찾는 뇌 설계도","자청 (지은이)","2026","4.5","book","인문","86025"
"https://image.aladin.co.kr/product/39402/74/cover500/k682139976_2.jpg","단어의 쓸모 - 평범한 대화를 더 근사하게 만드는 어휘의 힘","차민진 (지은이)","2026","5.0","book","인문","11100"
"https://image.aladin.co.kr/product/39028/69/cover500/k982137743_1.jpg","하루 한 장, 단단한 삶을 위한 고전 필사 노트 - 생각은 많은데 늘 흔들리는 어른을 위한 120편의 문장 처방","김선영 (지은이)","2026","5.0","book","인문","15435"
"https://image.aladin.co.kr/product/39134/99/cover500/8925569361_2.jpg","세상에서 가장 짧은 섹스의 역사 - 20억 년간 작동해온 생존과 욕망의 진화","데이비드 베이커 (지은이), 김숲 (옮긴이)","2026","5.0","book","인문","3060"
"https://image.aladin.co.kr/product/38887/98/cover500/k952137405_1.jpg","다크 심리학 2","다크 사이드 프로젝트 (지은이)","2026","5.0","book","인문","16190"
"https://image.aladin.co.kr/product/39039/99/cover500/k982138710_2.jpg","영화에 관하여","수전 손택 (지은이), 홍한별 (옮긴이)","2026","5.0","book","인문","33290"
